Xếp loại học tập,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
Chưa Xếp Loại,1.75,1.67,2.17,1,1.67,2
Chưa Xếp Loại,2.25,2,2,1.6,1.17,2.33
Chưa Xếp Loại,1.75,2,1.67,2.2,1.67,2.67
Chưa Xếp Loại,2,1.33,1.67,1.2,1.83,2
Chưa Xếp Loại,2,2.67,2.17,1.6,2,2.67
Chưa Xếp Loại,1.75,0.33,1.17,1.2,0.67,1
Chưa Xếp Loại,2.75,2.67,2.83,3.4,2.83,3.83
Chưa Xếp Loại,1.75,2.33,1.33,2,1.5,2.5
Chưa Xếp Loại,2,1.33,0.67,1,0.67,1.5
Chưa Xếp Loại,2,2,2.17,2.6,2.33,2.5
Chưa Xếp Loại,2.75,2.33,2.33,2.8,1.67,2.83
Chưa Xếp Loại,2.25,2,2.17,1.8,2,2
Chưa Xếp Loại,2.25,2,2.17,2.4,1.5,2.67
Chưa Xếp Loại,1.5,0,0.83,0.8,0.83,0
Chưa Xếp Loại,3,2.33,2.33,2.2,2.67,3.83
Chưa Xếp Loại,2.5,3,2.83,2.2,1.67,2.17
Chưa Xếp Loại,3,1.33,2,1.4,2,1.5
Chưa Xếp Loại,2.75,1.33,1.83,1.4,1.17,2.83
Chưa Xếp Loại,2.5,2,1.17,1.6,1.83,2.5
Chưa Xếp Loại,2,1.33,1.5,1.6,1.67,2.17
Chưa Xếp Loại,2.25,1.33,1.17,1.4,1.33,3
Chưa Xếp Loại,2.5,1.67,2,1.8,1.83,2.17
Chưa Xếp Loại,2.5,1.33,1.67,1.2,1.5,2.5
Chưa Xếp Loại,2.75,3,2,2.2,2,3
Chưa Xếp Loại,3.25,2.67,2.33,3.4,2.67,3.83
Chưa Xếp Loại,2.25,2,0.83,1.8,1.67,1.17
Chưa Xếp Loại,1.5,1,2,1,1.67,2.83
Chưa Xếp Loại,2,1.67,1.83,2.2,1.67,3.17
Chưa Xếp Loại,3,2.33,2.17,1.6,1.67,1.5
Chưa Xếp Loại,2.75,2.67,1.83,1.4,1.17,1.17
Chưa Xếp Loại,2,1.33,1.67,2.2,1.83,2.17
Chưa Xếp Loại,3.25,1.33,2.33,1.8,1.33,2.5
Chưa Xếp Loại,2,1.33,2.17,2.2,1.83,3.17
Chưa Xếp Loại,3,3.67,1.83,2.4,2,1.33
Chưa Xếp Loại,3.25,2.67,2.83,3,2.33,3.17
Chưa Xếp Loại,1.5,1.33,1.83,2.2,0.83,2
Chưa Xếp Loại,1.25,0.67,1.83,1.6,1.5,2
