KT1,KT2,KT3,KT_TB,BC,Bonus,QT_x,QT_y,CK,HP_grade
7.56,7.67,7.25,7.49,7.0,0.0,7.25,7.5,5.0,5.8
5.22,5.33,7.5,6.02,8.0,0.0,7.14,7.0,6.5,6.7
9.0,6.33,8.5,7.94,8.25,0.0,8.1,8.0,5.5,6.3
7.89,8.67,6.5,7.69,8.13,0.0,8.04,8.0,0.0,2.4
8.22,8.33,8.75,8.43,8.5,0.0,8.72,8.5,6.5,7.1
6.44,7.67,3.25,5.79,6.5,0.0,6.15,6.0,5.5,5.7
7.67,7.83,7.25,7.58,8.5,0.0,8.29,7.0,7.5,7.4
9.0,8.17,5.75,7.64,6.5,0.0,7.32,7.5,8.0,7.9
7.0,7.83,7.75,7.53,7.5,0.0,7.77,8.0,7.0,7.3
7.5,5.0,2.5,5.0,6.0,0.0,5.75,6.0,6.5,6.4
8.89,4.5,5.5,6.3,7.5,0.0,6.9,7.0,8.0,7.7
4.94,9.33,9.0,7.76,7.5,0.0,7.63,7.5,8.0,7.9
6.89,4.5,6.5,5.96,7.0,0.0,6.73,6.5,8.0,7.6
6.5,7.17,6.25,6.64,7.0,0.0,6.95,7.0,7.0,7.0
7.0,8.5,9.0,8.17,7.0,0.0,7.71,7.5,5.0,5.8
9.22,6.83,5.5,7.18,7.0,0.0,7.09,7.0,5.5,6.0
7.33,7.0,6.5,6.94,8.0,0.0,7.47,7.5,7.5,7.5
5.89,3.33,,3.07,7.0,0.0,5.16,5.0,7.0,6.4
9.0,4.84,6.0,6.61,8.5,0.0,7.81,8.0,7.0,7.3
7.0,7.5,5.25,6.58,7.0,0.0,6.92,7.0,8.0,7.7
6.5,6.5,,4.33,6.5,0.0,5.42,5.5,0.0,1.7
7.67,4.17,5.5,5.78,7.0,0.0,6.39,6.5,9.0,8.3
8.33,6.83,5.75,6.97,8.25,0.0,7.86,8.0,7.0,7.3
9.94,3.33,6.0,6.42,7.0,0.0,6.71,6.5,6.0,6.1
8.77,7.5,6.75,7.67,7.0,0.0,7.34,7.5,8.0,7.9
5.94,5.5,4.5,5.31,7.0,0.0,6.28,6.5,7.5,7.2
4.33,1.83,7.5,4.55,7.5,0.0,6.03,6.0,4.5,5.0
7.33,6.18,8.0,7.17,8.5,0.0,8.84,9.0,10.0,9.7
7.67,8.0,8.0,7.89,8.13,0.0,8.14,8.0,6.0,6.6
7.11,7.5,5.5,6.7,7.0,0.0,6.85,7.0,7.0,7.0
8.33,6.5,4.75,6.53,7.0,0.0,6.77,7.0,5.5,6.0
5.61,9.0,7.0,7.2,6.75,0.0,6.98,7.0,9.0,8.4
6.56,7.71,6.5,6.91,6.5,0.0,6.71,6.5,3.0,4.1
7.28,7.67,6.5,7.26,7.5,0.0,7.38,7.5,8.5,8.2
